"siteid","gvillcode","offyr","offmon","offday","offby","fgyr","fgmon","fgday","fgby","intyear","intmon","intday","intby","entyear","entmon","entday","entby"
"204011","204101",2006,9,15,1,2006,9,15,1,2006,9,15,1,2007,11,19,4
"204011","204102",2006,9,26,1,2006,9,26,1,2006,9,26,1,2007,11,19,4
"204013","204103",2006,9,20,2,2006,9,22,2,2006,9,22,2,2007,11,19,5
"204013","204104",2006,9,13,2,2006,9,15,2,2006,9,14,2,2007,11,19,5
"204012","204105",2006,9,11,4,2006,9,11,4,2006,9,11,4,2007,11,19,4
"204012","204106",2006,9,17,3,2006,9,17,3,2006,9,17,3,2007,11,19,5
"310011","310101",2007,11,18,8,2007,11,18,8,2007,11,18,8,2009,1,21,8
"310011","310102",2007,11,22,8,2007,11,28,8,2007,12,4,8,2009,1,22,8
"310011","310103",2007,11,24,8,2007,11,24,8,2007,11,24,8,2009,1,22,8
"310012","310104",2007,12,2,8,2007,12,1,8,2007,12,1,8,2009,1,22,8
"310012","310105",2007,12,8,8,2007,12,8,8,2007,12,7,8,2009,1,22,8
"205011","205101",2005,12,15,1,2005,12,15,1,2006,3,15,1,2006,12,15,1
"205011","205102",2005,12,10,1,2005,12,10,1,2006,3,17,1,2006,12,15,1
"205011","205103",2005,12,12,1,2005,12,12,1,2006,3,17,1,2006,12,30,1
"205012","205104",2005,12,17,1,2005,12,17,1,2006,3,19,1,2006,12,30,1
"205012","205105",2005,12,16,1,2005,12,16,1,2006,3,16,1,2006,12,30,1
"201032","201301",2007,11,21,1,2007,11,21,1,2007,11,21,1,2008,10,13,1
"201032","201302",2007,11,21,1,2007,11,23,1,2007,11,23,1,2008,10,14,1
"201032","201303",2007,11,23,1,2007,11,23,1,2007,11,23,1,2008,10,31,1
"201032","201304",2007,11,27,1,2007,11,27,1,2007,11,27,1,2008,10,31,1
"201032","201305",2007,11,21,1,2007,11,21,1,2007,11,21,1,2008,12,22,1
"201032","201306",2007,11,22,1,2007,11,22,1,2007,11,22,1,2008,12,22,1
"201032","201307",2007,11,20,1,2007,11,20,1,2007,11,20,1,2008,12,22,1
"201032","201308",2007,11,28,1,2007,11,28,1,2007,11,28,1,2008,12,22,1
"201031","201309",2007,12,27,1,2007,12,27,1,2007,12,27,1,2008,12,23,1
"201031","201310",2007,12,29,1,2007,12,29,1,2007,12,29,1,2008,12,23,1
"201031","201311",2008,1,2,1,2008,1,2,1,2008,1,2,1,2008,12,23,1
"201031","201312",2008,1,2,1,2008,1,2,1,2008,1,2,1,2008,12,23,1
"201031","201313",2008,12,30,1,2008,12,30,1,2008,12,30,1,2008,12,23,1
"201031","201314",2007,12,30,1,2007,12,30,1,2007,12,30,1,2008,12,23,1
"201021","201201",2006,11,5,1,2006,11,13,1,2006,11,10,1,2007,8,10,1
"201021","201202",2006,11,6,1,2006,11,15,1,2006,11,18,1,2007,8,10,1
"311011","311101",2007,12,13,9,2007,12,13,9,2007,12,14,9,2010,8,11,13
"311011","311102",2007,12,12,6,2007,12,13,6,2007,12,14,6,2010,8,12,13
"311012","311103",2007,11,17,9,2007,12,14,9,2007,11,15,9,2010,8,12,13
"311012","311104",2007,11,13,6,2007,12,14,6,2007,12,15,6,2010,8,12,13
"302011","302101",2007,4,27,15,2007,4,27,15,-8,-8,-8,-8,2008,2,21,16
