"siteid","gvillcode","land_v_cat","land_v_total","land_v_state","land_v_comm","land_v_priv","land_v_open"
"102021","102202",4,50,0,50,0,0
"102021","102202",8,300,0,300,0,0
"102021","102202",14,22888,0,22888,0,0
"102021","102203",1,14963,0,14963,0,0
"102021","102203",4,35,0,35,0,0
"102021","102203",5,2,0,2,0,0
"102021","102203",8,200,0,200,0,0
"102021","102203",14,15200,0,15200,0,0
"102021","102204",1,6690,0,6690,0,0
"102021","102204",4,10,0,10,0,0
"102021","102204",8,300,0,300,0,0
"102021","102204",14,7000,0,7000,0,0
"102021","102205",1,57720,0,57720,0,0
"102021","102205",4,80,0,80,0,0
"102021","102205",5,100,0,100,0,0
"102021","102205",8,100,0,100,0,0
"102021","102205",14,58000,0,58000,0,0
"102021","102206",1,7741,0,7741,0,0
"102021","102206",4,5,0,5,0,0
"102021","102206",8,50,0,50,0,0
"102021","102206",11,4,0,4,0,0
"102021","102206",14,7800,0,7800,0,0
"102021","102207",1,10461,0,10461,0,0
"102021","102207",4,20,0,20,0,0
"102021","102207",5,20,0,20,0,0
"102021","102207",6,23,0,23,0,0
"102021","102207",8,30,0,30,0,0
"102021","102207",14,11554,0,11554,0,0
"102021","102208",1,18353,0,18353,0,0
"102021","102208",4,42,0,42,0,0
"102021","102208",5,100,0,100,0,0
"102021","102208",8,100,0,100,0,0
"102021","102208",11,5,0,5,0,0
"102021","102208",14,18600,0,18600,0,0
"102031","102301",1,11410,0,11410,0,0
"102031","102301",4,40,0,40,0,0
"102031","102301",5,30,0,30,0,0
"102031","102301",8,20,0,20,0,0
"102031","102301",14,11500,0,11500,0,0
"102031","102302",1,8648,0,8648,0,0
"102031","102302",4,55.8,0,55.8,0,0
"102031","102302",5,18.8,0,18.8,0,0
"102031","102302",8,20,0,20,0,0
"102031","102302",11,2,0,2,0,0
"102031","102302",14,8745,0,8745,0,0
"102031","102303",1,9570,0,9570,0,0
"102031","102303",4,80,0,80,0,0
"102031","102303",5,240,0,240,0,0
"102031","102303",8,18,0,18,0,0
"102031","102303",11,2,0,2,0,0
"102031","102303",14,9910,0,9910,0,0
"102031","102304",1,5590,0,5590,0,0
"102031","102304",4,40,0,40,0,0
"102031","102304",5,20,0,20,0,0
"102031","102304",8,10,0,10,0,0
"102031","102304",11,2,0,2,0,0
"102031","102304",12,408,0,408,0,0
"102031","102304",14,6450,0,6450,0,0
"102031","102305",1,9455,0,9455,0,0
"102031","102305",4,45,0,45,0,0
"102031","102305",5,500,0,500,0,0
"102031","102305",8,20,0,20,0,0
"102031","102305",11,5,0,5,0,0
"102031","102305",14,10025,0,10025,0,0
"102031","102306",1,16723,0,16723,0,0
"102031","102306",4,45,0,45,0,0
"102031","102306",5,100,0,100,0,0
"102031","102306",8,15,0,15,0,0
"102031","102306",11,2,0,2,0,0
"102031","102306",14,16885,0,16885,0,0
"102031","102307",1,17727,0,17727,0,0
"102031","102307",4,100,0,100,0,0
"102031","102307",5,600,0,600,0,0
"102031","102307",8,10,0,10,0,0
"102031","102307",11,3,0,3,0,0
"102031","102307",14,18440,0,18440,0,0
"103011","103101",1,-9,0,-9,-9,0
"103011","103101",4,-9,0,0,-9,0
"103011","103101",5,-9,0,0,-9,0
"103011","103101",8,-9,0,0,-9,0
"103011","103101",11,20,5,5,10,0
"103011","103101",14,-9,5,-9,-9,0
"103011","103102",1,-9,0,-9,-9,0
"103011","103102",4,-9,0,0,-9,0
"103011","103102",5,-9,0,0,-9,0
"103011","103102",8,-9,0,0,-9,0
"103011","103102",11,12,0,4,8,0
"103011","103102",14,-9,0,-9,-9,0
"103011","103103",1,-9,0,-9,-9,0
"103011","103103",4,-9,0,0,-9,0
"103011","103103",5,-9,0,0,-9,0
"103011","103103",8,-9,0,0,-9,0
"103011","103103",11,2,0,1,1,0
"103011","103103",14,-9,0,-9,-9,0
"103011","103104",1,-9,0,-9,-9,0
"103011","103104",4,-9,0,-9,-9,0
"103011","103104",5,-9,0,-9,-9,0
"103011","103104",8,-9,0,-9,-9,0
"103011","103104",11,15,0,4,11,0
"103011","103104",14,-9,0,-9,-9,0
"103011","103105",1,-9,0,-9,-9,0
"103011","103105",4,-9,0,0,-9,0
"103011","103105",5,-9,0,0,-9,0
"103011","103105",8,-9,0,0,-9,0
"103011","103105",11,3,0,1,2,0
"103011","103105",14,-9,0,-9,-9,0
"103011","103106",1,-9,0,-9,-9,0
"103011","103106",4,-9,0,0,-9,0
"103011","103106",5,-9,0,0,-9,0
"103011","103106",8,-9,0,0,-9,0
"103011","103106",11,3,0,1,2,0
"103011","103106",14,-9,0,-9,-9,0
"103011","103107",1,-9,0,-9,-9,0
"103011","103107",4,-9,0,0,-9,0
"103011","103107",5,-9,0,0,-9,0
"103011","103107",8,-9,0,0,-9,0
"103011","103107",11,2,0,1,1,0
"103011","103107",14,-9,0,-9,-9,0
"103011","103108",1,-9,0,-9,-9,0
"103011","103108",4,-9,0,0,-9,0
"103011","103108",5,-9,0,0,-9,0
"103011","103108",8,-9,0,0,-9,0
"103011","103108",11,3,0,1,2,0
"103011","103108",14,-9,0,-9,-9,0
"103011","103109",1,-9,0,-9,-9,0
"103011","103109",4,-9,0,0,-9,0
"103011","103109",5,-9,0,0,-9,0
"103011","103109",8,-9,0,0,-9,0
