"siteid","gvillcode","dem_yrvill","dem_pop","dem_hhd","dem_pop10","dem_hhd10","dem_in","dem_out","dem_ethnic"
"303011","303104",1947,150,27,65,30,17,30,4
"303011","303105",1944,200,54,130,38,10,11,4
"303011","303106",-9,240,24,110,16,37,33,1
"303011","303108",1914,600,129,450,105,73,142,4
"303011","303109",1962,112,22,85,17,19,28,4
"303011","303110",1997,56,30,50,12,5,14,3
"303011","303111",-9,640,70,300,50,84,112,3
"303011","303112",1930,450,75,113,18,20,14,3
"303011","303113",-9,230,48,180,32,24,26,4
"303011","303115",1912,350,21,250,18,0,1,2
"303011","303116",-9,500,400,470,360,405,7,2
"303011","303117",1944,96,25,44,18,20,16,3
"303011","303118",1940,500,48,300,35,30,14,1
"303011","303119",1930,300,90,250,45,31,12,3
"303011","303120",1912,300,46,230,21,46,35,5
"303012","303121",1973,280,42,170,31,20,3,4
"303012","303122",1968,570,-9,390,90,5,8,3
"303012","303123",1923,187,55,118,31,-9,12,3
"303012","303124",1970,284,64,190,40,20,50,5
"303012","303125",1929,805,307,650,220,11,6,3
"303012","303126",-9,360,90,280,68,15,35,4
"303012","303127",1971,480,120,290,70,20,8,2
"303012","303128",1993,377,80,291,65,3,0,3
"303012","303129",1922,750,110,460,62,21,5,4
"303012","303130",1930,321,52,200,36,15,8,2
"303012","303131",1930,860,180,680,120,10,15,-9
"304011","304101",1900,8184,1364,4000,670,1700,100,8
"304012","304102",1950,9132,1522,4500,750,1300,100,9
"304021","304201",1940,400,60,200,40,150,50,2
"304021","304202",1960,250,50,200,40,20,10,2
"304021","304203",1950,300,60,200,50,25,15,2
"304022","304204",1960,3000,500,2500,400,500,200,2
"304022","304205",1950,3000,500,2500,400,100,50,2
"305011","305101",1896,2600,-9,2000,-9,60,5,2
"305011","305102",1904,442,33,336,23,26,22,4
"305012","305103",-9,-9,56,-9,-9,-9,-9,2
"305012","305104",1916,284,24,324,35,14,63,3
"305012","305105",1881,540,41,440,38,13,10,4
"306011","306101",1960,600,120,400,57,200,250,7
"306011","306102",1907,2400,400,2000,-9,80,200,15
"306011","306103",1857,3000,300,1400,-9,300,100,8
"306011","306104",1900,-9,-9,-9,-9,300,200,30
"306011","306105",1808,1500,187,1000,100,200,150,15
"306011","306106",1853,250,45,150,15,20,30,5
"306011","306107",1930,7000,1000,3000,400,1000,500,20
"306011","306108",1948,3000,375,1920,190,400,200,15
"306011","306109",1967,600,100,200,28,400,50,12
"306011","306110",1983,2100,350,600,75,1000,100,15
"306011","306111",1808,500,71,300,50,20,400,10
"306011","306112",1970,700,106,300,70,200,20,20
"306011","306113",-9,9000,1200,4000,500,600,1000,12
"306011","306114",1970,200,40,500,71,20,-9,8
"306011","306115",1857,1500,350,700,100,200,350,15
"306021","306201",1940,7000,870,3000,300,300,500,15
"306021","306202",1938,700,100,200,20,400,20,6
"306021","306203",1800,3500,300,1800,180,200,80,6
"306021","306204",1908,1000,100,700,70,50,50,10
"306021","306205",1807,7000,1000,4000,400,500,2000,15
"306021","306206",1907,2500,190,1800,180,500,300,9
"306021","306207",1850,185,50,300,60,25,40,2
"306021","306208",1961,700,100,100,25,400,40,8
"306021","306209",1940,600,150,300,60,400,150,11
"306021","306210",1920,1700,170,900,200,400,60,8
"306021","306211",1809,1800,225,1000,100,100,150,6
"306021","306212",1958,301,42,230,40,30,60,10
"306021","306213",1920,5000,550,1000,160,400,50,15
"306021","306214",1930,2000,250,700,70,700,100,6
"306021","306215",1900,700,68,254,40,35,15,5
"307011","307101",1938,640,125,478,105,66,14,1
"307011","307102",1960,420,80,502,88,86,217,2
"307011","307103",1945,995,160,625,100,128,17,1
"307011","307104",1938,470,103,380,64,34,50,1
"307011","307105",1932,488,85,500,97,20,10,2
"307011","307106",1914,670,114,295,50,0,12,1
"307012","307107",1992,451,98,300,65,37,14,2
"307012","307108",1988,354,73,196,40,103,49,5
"307012","307109",1986,540,112,264,55,288,24,6
"307012","307110",1973,185,43,135,30,40,18,2
"307012","307111",1986,460,97,317,63,96,34,4
"307012","307112",1989,521,104,250,56,108,33,2
"307013","307113",1986,1098,244,567,141,216,150,17
"307013","307114",1962,400,77,260,50,21,17,13
"307013","307115",1979,979,238,630,131,312,200,18
"307013","307116",1900,990,213,675,150,50,14,7
"307013","307117",1992,289,52,180,36,56,95,3
"307013","307118",1980,583,110,376,70,31,26,6
"308011","308101",1952,350,165,250,125,50,30,15
"308011","308102",1954,250,148,180,120,35,20,15
"308012","308103",1967,1464,183,900,112,350,250,15
"308012","308104",1954,297,93,150,50,20,30,12
"309011","309101",-9,4000,-9,1500,187,55,120,4
"309011","309102",-9,-9,1000,600,-9,600,100,6
"309011","309103",-9,3159,394,892,112,-9,-9,4
"309011","309104",-9,1953,244,1750,219,-9,-9,5
"309011","309105",1800,-9,-9,6581,1507,-9,-9,3
"309011","309106",-9,5500,687,4800,600,800,300,4
"309011","309107",-9,9000,1200,6000,750,1000,600,7
"309011","309108",-9,300,49,200,33,50,100,10
"309012","309109",-9,814,131,600,97,100,15,5
"309012","309110",1690,4800,774,3000,484,40,200,7
"309012","309111",-9,3072,495,1500,162,1000,600,8
"309012","309112",-9,3400,548,1500,242,1000,100,8
"309012","309113",-9,3250,524,1200,193,1000,30,7
"309012","309114",-9,6000,968,4000,645,800,300,13
"309012","309115",-9,2000,323,800,129,1200,10,18
"309012","309116",-9,2887,466,842,136,1500,30,13
"309011","309117",-9,3000,400,2000,200,20,100,3
"309021","309201",1846,1200,76,573,87,13,27,1
"309021","309202",1816,686,104,670,102,13,47,1
"309021","309203",1745,1740,238,1601,243,112,10,1
"309021","309204",1826,945,150,924,140,40,33,2
"309021","309205",1732,947,100,933,142,-9,-9,1
"309021","309206",1872,1332,120,1426,216,13,27,2
"309021","309207",1869,1169,129,914,139,-9,-9,1
"309021","309208",1832,1359,215,1231,187,47,20,4
"309021","309209",1100,3110,471,3335,505,-9,-9,4
"310011","310101",1935,2000,170,1800,150,1200,-9,5
"310011","310102",1890,4900,1200,3266,800,1700,150,8
"310011","310103",1885,794,160,444,100,27,10,7
"310012","310104",1918,345,45,500,75,25,175,8
"310012","310105",1976,317,51,580,103,54,200,9
"311011","311101",1907,1000,138,600,67,12,20,4
"311011","311102",1910,2180,310,1700,212,18,28,4
"311012","311103",1920,558,93,400,66,20,15,5
"311012","311104",1900,2290,458,1650,275,40,50,5
